crop,stage,days_from_sowing_min,days_from_sowing_max,key_task,water_need
groundnut,flowering,118,129,flowering management for groundnut,high
groundnut,fruiting,14,95,fruiting management for groundnut,medium
groundnut,harvest,39,165,harvest management for groundnut,medium
chilli,sowing,100,164,sowing management for chilli,high
chilli,vegetative,36,142,vegetative management for chilli,high
chilli,flowering,32,117,flowering management for chilli,low
chilli,fruiting,14,168,fruiting management for chilli,medium
chilli,harvest,66,47,harvest management for chilli,medium
chilli,sowing,23,41,sowing management for chilli,low
chilli,vegetative,38,121,vegetative management for chilli,high
chilli,flowering,83,70,flowering management for chilli,medium
chilli,fruiting,0,128,fruiting management for chilli,medium
chilli,harvest,50,143,harvest management for chilli,medium
onion,sowing,12,180,sowing management for onion,high
onion,vegetative,117,137,vegetative management for onion,low
onion,flowering,111,167,flowering management for onion,high
onion,fruiting,60,62,fruiting management for onion,high
onion,harvest,102,77,harvest management for onion,medium
potato,sowing,96,107,sowing management for potato,high
potato,vegetative,41,146,vegetative management for potato,medium
potato,flowering,24,171,flowering management for potato,medium
potato,fruiting,20,33,fruiting management for potato,medium
potato,harvest,14,177,harvest management for potato,medium
mustard,sowing,11,170,sowing management for mustard,medium
mustard,vegetative,47,168,vegetative management for mustard,high
mustard,flowering,88,90,flowering management for mustard,low
mustard,fruiting,49,141,fruiting management for mustard,high
mustard,harvest,35,100,harvest management for mustard,low
sunflower,sowing,44,31,sowing management for sunflower,high
sunflower,vegetative,102,142,vegetative management for sunflower,high
sunflower,flowering,73,78,flowering management for sunflower,medium
sunflower,fruiting,58,114,fruiting management for sunflower,medium
sunflower,harvest,5,43,harvest management for sunflower,high
bajra,sowing,19,77,sowing management for bajra,high
bajra,vegetative,89,66,vegetative management for bajra,medium
bajra,flowering,91,62,flowering management for bajra,low
bajra,fruiting,91,78,fruiting management for bajra,low
bajra,harvest,20,119,harvest management for bajra,high
pearl_millet,sowing,85,62,sowing management for pearl_millet,medium
pearl_millet,vegetative,93,111,vegetative management for pearl_millet,low
pearl_millet,flowering,95,114,flowering management for pearl_millet,high
pearl_millet,fruiting,111,152,fruiting management for pearl_millet,medium
pearl_millet,harvest,18,58,harvest management for pearl_millet,medium
jowar,sowing,57,167,sowing management for jowar,low
jowar,vegetative,115,115,vegetative management for jowar,medium
jowar,flowering,24,104,flowering management for jowar,medium
jowar,fruiting,8,128,fruiting management for jowar,low
jowar,harvest,41,124,harvest management for jowar,high
sorghum,sowing,13,113,sowing management for sorghum,high
sorghum,vegetative,10,175,vegetative management for sorghum,high
sorghum,flowering,86,149,flowering management for sorghum,low
sorghum,fruiting,15,136,fruiting management for sorghum,high
sorghum,harvest,36,82,harvest management for sorghum,high
chickpea,sowing,112,33,sowing management for chickpea,medium
chickpea,vegetative,95,104,vegetative management for chickpea,low
chickpea,flowering,95,139,flowering management for chickpea,low
chickpea,fruiting,1,132,fruiting management for chickpea,low
chickpea,harvest,64,175,harvest management for chickpea,high
chickpea,sowing,38,58,sowing management for chickpea,high
chickpea,vegetative,23,145,vegetative management for chickpea,high
chickpea,flowering,43,140,flowering management for chickpea,high
chickpea,fruiting,76,129,fruiting management for chickpea,low
chickpea,harvest,22,146,harvest management for chickpea,low
lentil,sowing,90,99,sowing management for lentil,low
lentil,vegetative,14,49,vegetative management for lentil,low
lentil,flowering,52,92,flowering management for lentil,low
lentil,fruiting,2,105,fruiting management for lentil,medium
lentil,harvest,118,148,harvest management for lentil,medium
moong,sowing,74,40,sowing management for moong,high
moong,vegetative,48,129,vegetative management for moong,high
moong,flowering,19,169,flowering management for moong,medium
moong,fruiting,97,165,fruiting management for moong,low
moong,harvest,46,75,harvest management for moong,high
urad,sowing,65,115,sowing management for urad,medium
urad,vegetative,116,153,vegetative management for urad,high
urad,flowering,43,132,flowering management for urad,low
urad,fruiting,22,132,fruiting management for urad,low
urad,harvest,97,49,harvest management for urad,medium
pigeon pea,sowing,80,136,sowing management for pigeon pea,medium
pigeon pea,vegetative,75,91,vegetative management for pigeon pea,low
pigeon pea,flowering,56,83,flowering management for pigeon pea,medium
pigeon pea,fruiting,92,92,fruiting management for pigeon pea,low
pigeon pea,harvest,112,62,harvest management for pigeon pea,low
pigeon_pea,sowing,92,154,sowing management for pigeon_pea,low
pigeon_pea,vegetative,25,139,vegetative management for pigeon_pea,high
pigeon_pea,flowering,65,148,flowering management for pigeon_pea,low
pigeon_pea,fruiting,85,32,fruiting management for pigeon_pea,high
pigeon_pea,harvest,37,124,harvest management for pigeon_pea,low
banana,sowing,8,135,sowing management for banana,high
banana,vegetative,64,119,vegetative management for banana,medium
banana,flowering,86,32,flowering management for banana,high
banana,fruiting,71,162,fruiting management for banana,low
banana,harvest,33,37,harvest management for banana,high
mango,sowing,44,85,sowing management for mango,low
mango,vegetative,49,33,vegetative management for mango,medium
mango,flowering,63,71,flowering management for mango,medium
mango,fruiting,50,148,fruiting management for mango,high
mango,harvest,109,116,harvest management for mango,high
grapes,sowing,108,45,sowing management for grapes,high
grapes,vegetative,39,53,vegetative management for grapes,high
grapes,flowering,96,95,flowering management for grapes,medium
grapes,fruiting,95,154,fruiting management for grapes,high
grapes,harvest,11,95,harvest management for grapes,medium
apple,sowing,99,49,sowing management for apple,medium
apple,vegetative,62,108,vegetative management for apple,medium
apple,flowering,48,37,flowering management for apple,high
apple,fruiting,25,54,fruiting management for apple,low
apple,harvest,67,151,harvest management for apple,medium
citrus,sowing,36,39,sowing management for citrus,high
citrus,vegetative,52,136,vegetative management for citrus,low
citrus,flowering,37,112,flowering management for citrus,high
citrus,fruiting,13,117,fruiting management for citrus,low
citrus,harvest,112,122,harvest management for citrus,high
orange,sowing,92,180,sowing management for orange,low
orange,vegetative,60,141,vegetative management for orange,high
orange,flowering,73,115,flowering management for orange,low
orange,fruiting,36,171,fruiting management for orange,high
orange,harvest,46,87,harvest management for orange,medium
papaya,sowing,24,124,sowing management for papaya,high
papaya,vegetative,95,147,vegetative management for papaya,high
papaya,flowering,25,48,flowering management for papaya,high
papaya,fruiting,50,80,fruiting management for papaya,low
papaya,harvest,92,72,harvest management for papaya,low
brinjal,sowing,114,37,sowing management for brinjal,high
brinjal,vegetative,58,54,vegetative management for brinjal,low
brinjal,flowering,71,117,flowering management for brinjal,low
brinjal,fruiting,73,130,fruiting management for brinjal,high
brinjal,harvest,80,54,harvest management for brinjal,high
brinjal,sowing,85,85,sowing management for brinjal,medium
brinjal,vegetative,33,157,vegetative management for brinjal,low
brinjal,flowering,10,74,flowering management for brinjal,medium
brinjal,fruiting,62,147,fruiting management for brinjal,medium
brinjal,harvest,50,77,harvest management for brinjal,high
cabbage,sowing,94,76,sowing management for cabbage,high
cabbage,vegetative,2,32,vegetative management for cabbage,low
cabbage,flowering,20,61,flowering management for cabbage,low
cabbage,fruiting,51,138,fruiting management for cabbage,high
cabbage,harvest,46,34,harvest management for cabbage,low
cauliflower,sowing,71,52,sowing management for cauliflower,low
cauliflower,vegetative,14,89,vegetative management for cauliflower,high
cauliflower,flowering,37,54,flowering management for cauliflower,medium
cauliflower,fruiting,103,52,fruiting management for cauliflower,medium
cauliflower,harvest,104,39,harvest management for cauliflower,high
okra,sowing,74,31,sowing management for okra,medium
okra,vegetative,55,161,vegetative management for okra,medium
okra,flowering,71,177,flowering management for okra,low
okra,fruiting,64,149,fruiting management for okra,high
okra,harvest,80,179,harvest management for okra,low
okra,sowing,88,119,sowing management for okra,low
okra,vegetative,64,131,vegetative management for okra,medium
okra,flowering,53,132,flowering management for okra,medium
okra,fruiting,46,108,fruiting management for okra,high
okra,harvest,6,178,harvest management for okra,medium
turmeric,sowing,92,136,sowing management for turmeric,low
turmeric,vegetative,89,95,vegetative management for turmeric,low
turmeric,flowering,80,166,flowering management for turmeric,high
turmeric,fruiting,58,163,fruiting management for turmeric,medium
turmeric,harvest,82,56,harvest management for turmeric,medium
ginger,sowing,16,46,sowing management for ginger,high
ginger,vegetative,49,80,vegetative management for ginger,medium
ginger,flowering,107,158,flowering management for ginger,low
ginger,fruiting,54,117,fruiting management for ginger,high
ginger,harvest,81,116,harvest management for ginger,high
coffee,sowing,63,152,sowing management for coffee,medium
coffee,vegetative,5,114,vegetative management for coffee,medium
coffee,flowering,32,168,flowering management for coffee,medium
coffee,fruiting,48,50,fruiting management for coffee,medium
coffee,harvest,89,135,harvest management for coffee,medium
tea,sowing,88,94,sowing management for tea,medium
tea,vegetative,26,103,vegetative management for tea,high
tea,flowering,81,100,flowering management for tea,high
tea,fruiting,35,149,fruiting management for tea,low
tea,harvest,48,84,harvest management for tea,medium
coconut,sowing,82,177,sowing management for coconut,low
coconut,vegetative,14,57,vegetative management for coconut,high
coconut,flowering,48,172,flowering management for coconut,high
coconut,fruiting,33,134,fruiting management for coconut,high
coconut,harvest,40,153,harvest management for coconut,medium
arecanut,sowing,120,136,sowing management for arecanut,high
arecanut,vegetative,118,125,vegetative management for arecanut,high
arecanut,flowering,65,92,flowering management for arecanut,low
arecanut,fruiting,54,162,fruiting management for arecanut,low
arecanut,harvest,8,150,harvest management for arecanut,low
barley,sowing,21,59,sowing management for barley,medium
barley,vegetative,11,153,vegetative management for barley,high
barley,flowering,22,89,flowering management for barley,medium
barley,fruiting,96,39,fruiting management for barley,high
barley,harvest,21,130,harvest management for barley,medium
oats,sowing,86,122,sowing management for oats,high
oats,vegetative,74,140,vegetative management for oats,low
oats,flowering,46,73,flowering management for oats,low
oats,fruiting,47,88,fruiting management for oats,low
oats,harvest,37,144,harvest management for oats,low
ragi,sowing,32,43,sowing management for ragi,high
ragi,vegetative,36,43,vegetative management for ragi,low
ragi,flowering,69,130,flowering management for ragi,low
ragi,fruiting,56,53,fruiting management for ragi,low
ragi,harvest,72,78,harvest management for ragi,low
finger_millet,sowing,73,175,sowing management for finger_millet,medium
finger_millet,vegetative,106,122,vegetative management for finger_millet,medium
finger_millet,flowering,91,37,flowering management for finger_millet,high
finger_millet,fruiting,45,126,fruiting management for finger_millet,high
finger_millet,harvest,111,76,harvest management for finger_millet,high
foxtail_millet,sowing,47,165,sowing management for foxtail_millet,high
foxtail_millet,vegetative,79,161,vegetative management for foxtail_millet,high
foxtail_millet,flowering,64,97,flowering management for foxtail_millet,medium
foxtail_millet,fruiting,116,136,fruiting management for foxtail_millet,low
foxtail_millet,harvest,17,140,harvest management for foxtail_millet,low
castor,sowing,27,82,sowing management for castor,medium
castor,vegetative,62,147,vegetative management for castor,medium
castor,flowering,86,53,flowering management for castor,medium
castor,fruiting,50,126,fruiting management for castor,medium
castor,harvest,113,110,harvest management for castor,medium
sesame,sowing,5,72,sowing management for sesame,high
sesame,vegetative,71,176,vegetative management for sesame,high
sesame,flowering,98,153,flowering management for sesame,low
sesame,fruiting,0,140,fruiting management for sesame,high
sesame,harvest,3,134,harvest management for sesame,low
sesame,sowing,108,155,sowing management for sesame,low
sesame,vegetative,85,146,vegetative management for sesame,low
sesame,flowering,50,50,flowering management for sesame,medium
sesame,fruiting,21,96,fruiting management for sesame,high
sesame,harvest,82,124,harvest management for sesame,medium
linseed,sowing,102,152,sowing management for linseed,low
linseed,vegetative,3,40,vegetative management for linseed,medium
linseed,flowering,51,164,flowering management for linseed,low
linseed,fruiting,61,119,fruiting management for linseed,medium
linseed,harvest,10,176,harvest management for linseed,high
flax,sowing,42,49,sowing management for flax,high
flax,vegetative,117,150,vegetative management for flax,medium
flax,flowering,112,74,flowering management for flax,low
flax,fruiting,39,148,fruiting management for flax,low
flax,harvest,28,172,harvest management for flax,high
niger,sowing,37,115,sowing management for niger,high
niger,vegetative,59,114,vegetative management for niger,low
niger,flowering,111,163,flowering management for niger,medium
niger,fruiting,40,68,fruiting management for niger,high
niger,harvest,11,56,harvest management for niger,low
watermelon,sowing,35,176,sowing management for watermelon,medium
watermelon,vegetative,88,120,vegetative management for watermelon,low
watermelon,flowering,49,159,flowering management for watermelon,medium
watermelon,fruiting,97,139,fruiting management for watermelon,low
watermelon,harvest,87,162,harvest management for watermelon,high
muskmelon,sowing,103,112,sowing management for muskmelon,low
muskmelon,vegetative,70,48,vegetative management for muskmelon,medium
muskmelon,flowering,89,96,flowering management for muskmelon,medium
muskmelon,fruiting,47,74,fruiting management for muskmelon,medium
muskmelon,harvest,52,111,harvest management for muskmelon,low
cucumber,sowing,67,46,sowing management for cucumber,high
cucumber,vegetative,115,143,vegetative management for cucumber,medium
cucumber,flowering,43,118,flowering management for cucumber,low
cucumber,fruiting,68,167,fruiting management for cucumber,medium
cucumber,harvest,5,68,harvest management for cucumber,low
pumpkin,sowing,100,106,sowing management for pumpkin,medium
pumpkin,vegetative,65,140,vegetative management for pumpkin,high
pumpkin,flowering,32,46,flowering management for pumpkin,medium
pumpkin,fruiting,120,86,fruiting management for pumpkin,low
pumpkin,harvest,60,73,harvest management for pumpkin,low
bottle_gourd,sowing,19,174,sowing management for bottle_gourd,low
bottle_gourd,vegetative,79,143,vegetative management for bottle_gourd,low
bottle_gourd,flowering,7,47,flowering management for bottle_gourd,medium
bottle_gourd,fruiting,91,101,fruiting management for bottle_gourd,medium
bottle_gourd,harvest,28,112,harvest management for bottle_gourd,high
bitter_gourd,sowing,39,76,sowing management for bitter_gourd,high
bitter_gourd,vegetative,96,100,vegetative management for bitter_gourd,high
bitter_gourd,flowering,73,148,flowering management for bitter_gourd,high
bitter_gourd,fruiting,10,74,fruiting management for bitter_gourd,medium
bitter_gourd,harvest,104,168,harvest management for bitter_gourd,low
ridge_gourd,sowing,69,84,sowing management for ridge_gourd,high
ridge_gourd,vegetative,9,64,vegetative management for ridge_gourd,low
ridge_gourd,flowering,22,35,flowering management for ridge_gourd,medium
ridge_gourd,fruiting,46,60,fruiting management for ridge_gourd,medium
ridge_gourd,harvest,71,54,harvest management for ridge_gourd,low
sponge_gourd,sowing,80,56,sowing management for sponge_gourd,low
sponge_gourd,vegetative,11,50,vegetative management for sponge_gourd,medium
sponge_gourd,flowering,115,33,flowering management for sponge_gourd,low
sponge_gourd,fruiting,104,150,fruiting management for sponge_gourd,medium
sponge_gourd,harvest,35,141,harvest management for sponge_gourd,high
drumstick,sowing,19,130,sowing management for drumstick,high
drumstick,vegetative,95,102,vegetative management for drumstick,medium
drumstick,flowering,102,47,flowering management for drumstick,high
drumstick,fruiting,59,99,fruiting management for drumstick,high
drumstick,harvest,19,158,harvest management for drumstick,medium
moringa,sowing,7,117,sowing management for moringa,high
moringa,vegetative,18,129,vegetative management for moringa,medium
moringa,flowering,57,150,flowering management for moringa,high
moringa,fruiting,74,163,fruiting management for moringa,low
moringa,harvest,39,174,harvest management for moringa,low
guava,sowing,23,61,sowing management for guava,low
guava,vegetative,24,100,vegetative management for guava,high
guava,flowering,63,67,flowering management for guava,high
guava,fruiting,28,122,fruiting management for guava,medium
guava,harvest,3,95,harvest management for guava,high
pomegranate,sowing,60,49,sowing management for pomegranate,medium
pomegranate,vegetative,1,52,vegetative management for pomegranate,medium
pomegranate,flowering,11,62,flowering management for pomegranate,high
pomegranate,fruiting,108,54,fruiting management for pomegranate,high
pomegranate,harvest,45,49,harvest management for pomegranate,high
sapota,sowing,51,67,sowing management for sapota,medium
sapota,vegetative,112,109,vegetative management for sapota,medium
sapota,flowering,58,171,flowering management for sapota,high
sapota,fruiting,66,170,fruiting management for sapota,high
sapota,harvest,83,116,harvest management for sapota,low
sapota,sowing,69,89,sowing management for sapota,low
sapota,vegetative,80,34,vegetative management for sapota,high
sapota,flowering,25,145,flowering management for sapota,high
sapota,fruiting,7,53,fruiting management for sapota,high
sapota,harvest,88,175,harvest management for sapota,medium
lychee,sowing,70,76,sowing management for lychee,high
lychee,vegetative,112,94,vegetative management for lychee,low
lychee,flowering,112,88,flowering management for lychee,low
lychee,fruiting,33,32,fruiting management for lychee,high
lychee,harvest,78,44,harvest management for lychee,medium
jackfruit,sowing,101,155,sowing management for jackfruit,medium
jackfruit,vegetative,30,104,vegetative management for jackfruit,high
jackfruit,flowering,39,148,flowering management for jackfruit,medium
jackfruit,fruiting,2,40,fruiting management for jackfruit,low
jackfruit,harvest,89,33,harvest management for jackfruit,medium
pineapple,sowing,108,106,sowing management for pineapple,medium
pineapple,vegetative,61,104,vegetative management for pineapple,medium
pineapple,flowering,3,53,flowering management for pineapple,high
pineapple,fruiting,17,161,fruiting management for pineapple,medium
pineapple,harvest,108,38,harvest management for pineapple,medium
strawberry,sowing,50,119,sowing management for strawberry,low
strawberry,vegetative,63,47,vegetative management for strawberry,low
strawberry,flowering,1,57,flowering management for strawberry,high
strawberry,fruiting,47,133,fruiting management for strawberry,medium
strawberry,harvest,41,163,harvest management for strawberry,low
blueberry,sowing,92,67,sowing management for blueberry,medium
blueberry,vegetative,36,161,vegetative management for blueberry,low
blueberry,flowering,14,63,flowering management for blueberry,medium
blueberry,fruiting,86,114,fruiting management for blueberry,high
blueberry,harvest,112,136,harvest management for blueberry,low
pear,sowing,102,176,sowing management for pear,high
pear,vegetative,60,32,vegetative management for pear,low
pear,flowering,52,125,flowering management for pear,low
pear,fruiting,71,90,fruiting management for pear,medium
pear,harvest,82,36,harvest management for pear,high
plum,sowing,13,74,sowing management for plum,low
plum,vegetative,83,63,vegetative management for plum,medium
plum,flowering,38,51,flowering management for plum,low
plum,fruiting,60,83,fruiting management for plum,high
plum,harvest,87,46,harvest management for plum,high
peach,sowing,1,120,sowing management for peach,medium
peach,vegetative,34,98,vegetative management for peach,high
peach,flowering,106,97,flowering management for peach,medium
peach,fruiting,7,123,fruiting management for peach,low
peach,harvest,10,154,harvest management for peach,medium
tobacco,sowing,18,120,sowing management for tobacco,high
tobacco,vegetative,65,68,vegetative management for tobacco,high
tobacco,flowering,49,141,flowering management for tobacco,low
tobacco,fruiting,6,50,fruiting management for tobacco,high
tobacco,harvest,80,44,harvest management for tobacco,low
mentha,sowing,69,140,sowing management for mentha,low
mentha,vegetative,109,93,vegetative management for mentha,high
mentha,flowering,50,69,flowering management for mentha,medium
mentha,fruiting,95,55,fruiting management for mentha,low
mentha,harvest,23,71,harvest management for mentha,medium
mint,sowing,6,155,sowing management for mint,high
mint,vegetative,51,55,vegetative management for mint,high
mint,flowering,91,131,flowering management for mint,medium
mint,fruiting,92,178,fruiting management for mint,low
mint,harvest,18,132,harvest management for mint,medium
coriander,sowing,117,93,sowing management for coriander,medium
coriander,vegetative,81,32,vegetative management for coriander,medium
coriander,flowering,81,147,flowering management for coriander,high
coriander,fruiting,59,53,fruiting management for coriander,medium
coriander,harvest,64,98,harvest management for coriander,low
cumin,sowing,46,111,sowing management for cumin,medium
cumin,vegetative,72,62,vegetative management for cumin,medium
cumin,flowering,10,44,flowering management for cumin,medium
cumin,fruiting,66,167,fruiting management for cumin,low
cumin,harvest,25,126,harvest management for cumin,high
fennel,sowing,110,81,sowing management for fennel,high
fennel,vegetative,27,176,vegetative management for fennel,low
fennel,flowering,71,50,flowering management for fennel,high
fennel,fruiting,22,124,fruiting management for fennel,low
fennel,harvest,32,111,harvest management for fennel,low
fenugreek,sowing,74,94,sowing management for fenugreek,medium
fenugreek,vegetative,7,100,vegetative management for fenugreek,low
fenugreek,flowering,39,91,flowering management for fenugreek,medium
fenugreek,fruiting,6,152,fruiting management for fenugreek,medium
fenugreek,harvest,47,120,harvest management for fenugreek,low
fenugreek,sowing,64,177,sowing management for fenugreek,medium
fenugreek,vegetative,114,125,vegetative management for fenugreek,medium
fenugreek,flowering,72,152,flowering management for fenugreek,high
fenugreek,fruiting,34,99,fruiting management for fenugreek,medium
fenugreek,harvest,118,118,harvest management for fenugreek,low
isabgol,sowing,85,32,sowing management for isabgol,low
isabgol,vegetative,58,144,vegetative management for isabgol,low
isabgol,flowering,114,130,flowering management for isabgol,low
isabgol,fruiting,20,171,fruiting management for isabgol,high
isabgol,harvest,86,116,harvest management for isabgol,medium
psyllium,sowing,99,164,sowing management for psyllium,high
psyllium,vegetative,66,61,vegetative management for psyllium,high
psyllium,flowering,14,69,flowering management for psyllium,medium
psyllium,fruiting,36,86,fruiting management for psyllium,high
psyllium,harvest,27,71,harvest management for psyllium,medium
safflower,sowing,92,165,sowing management for safflower,medium
safflower,vegetative,15,115,vegetative management for safflower,high
safflower,flowering,99,134,flowering management for safflower,high
safflower,fruiting,48,154,fruiting management for safflower,high
safflower,harvest,83,103,harvest management for safflower,low
niger_seed,sowing,69,161,sowing management for niger_seed,medium
niger_seed,vegetative,108,162,vegetative management for niger_seed,low
niger_seed,flowering,53,31,flowering management for niger_seed,medium
niger_seed,fruiting,48,157,fruiting management for niger_seed,medium
niger_seed,harvest,61,175,harvest management for niger_seed,high
berseem,sowing,48,157,sowing management for berseem,low
berseem,vegetative,94,116,vegetative management for berseem,medium
berseem,flowering,59,84,flowering management for berseem,high
berseem,fruiting,98,160,fruiting management for berseem,medium
berseem,harvest,52,54,harvest management for berseem,high
lucerne,sowing,81,67,sowing management for lucerne,low
lucerne,vegetative,23,37,vegetative management for lucerne,high
lucerne,flowering,50,109,flowering management for lucerne,low
lucerne,fruiting,51,142,fruiting management for lucerne,medium
lucerne,harvest,90,96,harvest management for lucerne,high
alfalfa,sowing,8,90,sowing management for alfalfa,medium
alfalfa,vegetative,74,69,vegetative management for alfalfa,low
alfalfa,flowering,116,87,flowering management for alfalfa,low
alfalfa,fruiting,38,79,fruiting management for alfalfa,medium
alfalfa,harvest,24,90,harvest management for alfalfa,medium
hybrid_napier,sowing,19,104,sowing management for hybrid_napier,high
hybrid_napier,vegetative,83,157,vegetative management for hybrid_napier,medium
hybrid_napier,flowering,67,164,flowering management for hybrid_napier,high
hybrid_napier,fruiting,112,102,fruiting management for hybrid_napier,low
hybrid_napier,harvest,109,49,harvest management for hybrid_napier,high
marigold,sowing,39,118,sowing management for marigold,low
marigold,vegetative,85,55,vegetative management for marigold,medium
marigold,flowering,93,37,flowering management for marigold,low
marigold,fruiting,120,48,fruiting management for marigold,low
marigold,harvest,95,99,harvest management for marigold,low
