date,market,crop,min_price_inr_quintal,max_price_inr_quintal,modal_price_inr_quintal
2026-05-20,Warangal,bajra,1229,1729,1429
2026-05-20,Guntur,bajra,1232,1732,1432
2026-05-20,Nashik,bajra,3705,4205,3905
2026-05-20,Ludhiana,bajra,7424,7924,7624
2026-05-20,Hyderabad,bajra,2045,2545,2245
2026-05-20,Warangal,pearl_millet,7050,7550,7250
2026-05-20,Guntur,pearl_millet,2241,2741,2441
2026-05-20,Nashik,pearl_millet,5323,5823,5523
2026-05-20,Ludhiana,pearl_millet,5853,6353,6053
2026-05-20,Hyderabad,pearl_millet,7503,8003,7703
2026-05-20,Warangal,jowar,3756,4256,3956
2026-05-20,Guntur,jowar,5815,6315,6015
2026-05-20,Nashik,jowar,1737,2237,1937
2026-05-20,Ludhiana,jowar,6954,7454,7154
2026-05-20,Hyderabad,jowar,6118,6618,6318
2026-05-20,Warangal,sorghum,1422,1922,1622
2026-05-20,Guntur,sorghum,3323,3823,3523
2026-05-20,Nashik,sorghum,5159,5659,5359
2026-05-20,Ludhiana,sorghum,8073,8573,8273
2026-05-20,Hyderabad,sorghum,8189,8689,8389
2026-05-20,Warangal,chickpea,7673,8173,7873
2026-05-20,Guntur,chickpea,4085,4585,4285
2026-05-20,Nashik,chickpea,3682,4182,3882
2026-05-20,Ludhiana,chickpea,3252,3752,3452
2026-05-20,Hyderabad,chickpea,5331,5831,5531
2026-05-20,Warangal,chickpea,7131,7631,7331
2026-05-20,Guntur,chickpea,1187,1687,1387
2026-05-20,Nashik,chickpea,2008,2508,2208
2026-05-20,Ludhiana,chickpea,4612,5112,4812
2026-05-20,Hyderabad,chickpea,4346,4846,4546
2026-05-20,Warangal,lentil,8057,8557,8257
2026-05-20,Guntur,lentil,1242,1742,1442
2026-05-20,Nashik,lentil,3544,4044,3744
2026-05-20,Ludhiana,lentil,3375,3875,3575
2026-05-20,Hyderabad,lentil,1496,1996,1696
2026-05-20,Warangal,moong,5537,6037,5737
2026-05-20,Guntur,moong,5610,6110,5810
2026-05-20,Nashik,moong,3440,3940,3640
2026-05-20,Ludhiana,moong,2837,3337,3037
2026-05-20,Hyderabad,moong,5370,5870,5570
2026-05-20,Warangal,urad,5037,5537,5237
2026-05-20,Guntur,urad,7395,7895,7595
2026-05-20,Nashik,urad,1046,1546,1246
2026-05-20,Ludhiana,urad,5128,5628,5328
2026-05-20,Hyderabad,urad,3327,3827,3527
2026-05-20,Warangal,pigeon pea,1800,2300,2000
2026-05-20,Guntur,pigeon pea,6357,6857,6557
2026-05-20,Nashik,pigeon pea,2092,2592,2292
2026-05-20,Ludhiana,pigeon pea,7733,8233,7933
2026-05-20,Hyderabad,pigeon pea,5855,6355,6055
2026-05-20,Warangal,pigeon_pea,6585,7085,6785
2026-05-20,Guntur,pigeon_pea,5545,6045,5745
2026-05-20,Nashik,pigeon_pea,1705,2205,1905
2026-05-20,Ludhiana,pigeon_pea,8280,8780,8480
2026-05-20,Hyderabad,pigeon_pea,4804,5304,5004
2026-05-20,Warangal,banana,6234,6734,6434
2026-05-20,Guntur,banana,7021,7521,7221
2026-05-20,Nashik,banana,6831,7331,7031
2026-05-20,Ludhiana,banana,5537,6037,5737
2026-05-20,Hyderabad,banana,3178,3678,3378
2026-05-20,Warangal,mango,7525,8025,7725
2026-05-20,Guntur,mango,6203,6703,6403
2026-05-20,Nashik,mango,7339,7839,7539
2026-05-20,Ludhiana,mango,3088,3588,3288
2026-05-20,Hyderabad,mango,6770,7270,6970
2026-05-20,Warangal,grapes,7839,8339,8039
2026-05-20,Guntur,grapes,2528,3028,2728
2026-05-20,Nashik,grapes,3631,4131,3831
2026-05-20,Ludhiana,grapes,2313,2813,2513
2026-05-20,Hyderabad,grapes,6453,6953,6653
2026-05-20,Warangal,apple,5429,5929,5629
2026-05-20,Guntur,apple,7046,7546,7246
2026-05-20,Nashik,apple,4526,5026,4726
2026-05-20,Ludhiana,apple,5908,6408,6108
2026-05-20,Hyderabad,apple,8159,8659,8359
2026-05-20,Warangal,citrus,1524,2024,1724
2026-05-20,Guntur,citrus,4849,5349,5049
2026-05-20,Nashik,citrus,4634,5134,4834
2026-05-20,Ludhiana,citrus,4688,5188,4888
2026-05-20,Hyderabad,citrus,5310,5810,5510
2026-05-20,Warangal,orange,3669,4169,3869
2026-05-20,Guntur,orange,1860,2360,2060
2026-05-20,Nashik,orange,3660,4160,3860
2026-05-20,Ludhiana,orange,2215,2715,2415
2026-05-20,Hyderabad,orange,7346,7846,7546
2026-05-20,Warangal,papaya,6494,6994,6694
2026-05-20,Guntur,papaya,4280,4780,4480
2026-05-20,Nashik,papaya,2117,2617,2317
2026-05-20,Ludhiana,papaya,2510,3010,2710
2026-05-20,Hyderabad,papaya,5139,5639,5339
2026-05-20,Warangal,brinjal,2966,3466,3166
2026-05-20,Guntur,brinjal,1331,1831,1531
2026-05-20,Nashik,brinjal,7092,7592,7292
2026-05-20,Ludhiana,brinjal,2825,3325,3025
2026-05-20,Hyderabad,brinjal,5413,5913,5613
2026-05-20,Warangal,brinjal,7097,7597,7297
2026-05-20,Guntur,brinjal,5812,6312,6012
2026-05-20,Nashik,brinjal,3617,4117,3817
2026-05-20,Ludhiana,brinjal,6481,6981,6681
2026-05-20,Hyderabad,brinjal,5879,6379,6079
2026-05-20,Warangal,cabbage,1467,1967,1667
2026-05-20,Guntur,cabbage,3172,3672,3372
2026-05-20,Nashik,cabbage,2436,2936,2636
2026-05-20,Ludhiana,cabbage,4494,4994,4694
2026-05-20,Hyderabad,cabbage,3243,3743,3443
2026-05-20,Warangal,cauliflower,5096,5596,5296
2026-05-20,Guntur,cauliflower,6238,6738,6438
2026-05-20,Nashik,cauliflower,5295,5795,5495
2026-05-20,Ludhiana,cauliflower,6555,7055,6755
2026-05-20,Hyderabad,cauliflower,7299,7799,7499
2026-05-20,Warangal,okra,6414,6914,6614
2026-05-20,Guntur,okra,7124,7624,7324
2026-05-20,Nashik,okra,2343,2843,2543
2026-05-20,Ludhiana,okra,7189,7689,7389
2026-05-20,Hyderabad,okra,7002,7502,7202
2026-05-20,Warangal,okra,5064,5564,5264
2026-05-20,Guntur,okra,5829,6329,6029
2026-05-20,Nashik,okra,7509,8009,7709
2026-05-20,Ludhiana,okra,5917,6417,6117
2026-05-20,Hyderabad,okra,4807,5307,5007
2026-05-20,Warangal,turmeric,2311,2811,2511
2026-05-20,Guntur,turmeric,3750,4250,3950
2026-05-20,Nashik,turmeric,5988,6488,6188
2026-05-20,Ludhiana,turmeric,5662,6162,5862
2026-05-20,Hyderabad,turmeric,1049,1549,1249
2026-05-20,Warangal,ginger,2070,2570,2270
2026-05-20,Guntur,ginger,4736,5236,4936
2026-05-20,Nashik,ginger,7581,8081,7781
2026-05-20,Ludhiana,ginger,7844,8344,8044
2026-05-20,Hyderabad,ginger,5702,6202,5902
2026-05-20,Warangal,coffee,3507,4007,3707
2026-05-20,Guntur,coffee,5114,5614,5314
2026-05-20,Nashik,coffee,6488,6988,6688
2026-05-20,Ludhiana,coffee,1036,1536,1236
2026-05-20,Hyderabad,coffee,5347,5847,5547
2026-05-20,Warangal,tea,5381,5881,5581
2026-05-20,Guntur,tea,8134,8634,8334
2026-05-20,Nashik,tea,1704,2204,1904
2026-05-20,Ludhiana,tea,4055,4555,4255
2026-05-20,Hyderabad,tea,6792,7292,6992
2026-05-20,Warangal,coconut,3708,4208,3908
2026-05-20,Guntur,coconut,1850,2350,2050
2026-05-20,Nashik,coconut,5376,5876,5576
2026-05-20,Ludhiana,coconut,4952,5452,5152
2026-05-20,Hyderabad,coconut,4747,5247,4947
2026-05-20,Warangal,arecanut,2205,2705,2405
2026-05-20,Guntur,arecanut,6947,7447,7147
2026-05-20,Nashik,arecanut,7994,8494,8194
2026-05-20,Ludhiana,arecanut,1076,1576,1276
2026-05-20,Hyderabad,arecanut,7542,8042,7742
2026-05-20,Warangal,barley,2992,3492,3192
2026-05-20,Guntur,barley,5067,5567,5267
2026-05-20,Nashik,barley,4683,5183,4883
2026-05-20,Ludhiana,barley,7765,8265,7965
2026-05-20,Hyderabad,barley,5933,6433,6133
2026-05-20,Warangal,oats,3559,4059,3759
2026-05-20,Guntur,oats,7421,7921,7621
2026-05-20,Nashik,oats,4265,4765,4465
2026-05-20,Ludhiana,oats,4039,4539,4239
2026-05-20,Hyderabad,oats,6365,6865,6565
2026-05-20,Warangal,ragi,1849,2349,2049
2026-05-20,Guntur,ragi,1751,2251,1951
2026-05-20,Nashik,ragi,5881,6381,6081
2026-05-20,Ludhiana,ragi,2221,2721,2421
2026-05-20,Hyderabad,ragi,4557,5057,4757
2026-05-20,Warangal,finger_millet,4269,4769,4469
2026-05-20,Guntur,finger_millet,2585,3085,2785
2026-05-20,Nashik,finger_millet,3478,3978,3678
2026-05-20,Ludhiana,finger_millet,6826,7326,7026
2026-05-20,Hyderabad,finger_millet,5432,5932,5632
2026-05-20,Warangal,foxtail_millet,2034,2534,2234
2026-05-20,Guntur,foxtail_millet,4851,5351,5051
2026-05-20,Nashik,foxtail_millet,3246,3746,3446
2026-05-20,Ludhiana,foxtail_millet,4186,4686,4386
2026-05-20,Hyderabad,foxtail_millet,3591,4091,3791
2026-05-20,Warangal,castor,1127,1627,1327
2026-05-20,Guntur,castor,4246,4746,4446
2026-05-20,Nashik,castor,6671,7171,6871
2026-05-20,Ludhiana,castor,2069,2569,2269
2026-05-20,Hyderabad,castor,7888,8388,8088
2026-05-20,Warangal,sesame,6743,7243,6943
2026-05-20,Guntur,sesame,5736,6236,5936
2026-05-20,Nashik,sesame,4247,4747,4447
2026-05-20,Ludhiana,sesame,7556,8056,7756
2026-05-20,Hyderabad,sesame,1193,1693,1393
2026-05-20,Warangal,sesame,5861,6361,6061
2026-05-20,Guntur,sesame,1172,1672,1372
2026-05-20,Nashik,sesame,8032,8532,8232
2026-05-20,Ludhiana,sesame,8185,8685,8385
2026-05-20,Hyderabad,sesame,4244,4744,4444
2026-05-20,Warangal,linseed,6477,6977,6677
2026-05-20,Guntur,linseed,4620,5120,4820
2026-05-20,Nashik,linseed,1580,2080,1780
2026-05-20,Ludhiana,linseed,2477,2977,2677
2026-05-20,Hyderabad,linseed,6970,7470,7170
2026-05-20,Warangal,flax,2444,2944,2644
2026-05-20,Guntur,flax,2751,3251,2951
2026-05-20,Nashik,flax,6231,6731,6431
2026-05-20,Ludhiana,flax,7420,7920,7620
2026-05-20,Hyderabad,flax,2556,3056,2756
2026-05-20,Warangal,niger,7488,7988,7688
2026-05-20,Guntur,niger,1571,2071,1771
2026-05-20,Nashik,niger,5397,5897,5597
2026-05-20,Ludhiana,niger,2858,3358,3058
2026-05-20,Hyderabad,niger,6293,6793,6493
2026-05-20,Warangal,watermelon,3648,4148,3848
2026-05-20,Guntur,watermelon,1874,2374,2074
2026-05-20,Nashik,watermelon,3069,3569,3269
2026-05-20,Ludhiana,watermelon,2560,3060,2760
2026-05-20,Hyderabad,watermelon,5747,6247,5947
2026-05-20,Warangal,muskmelon,5538,6038,5738
2026-05-20,Guntur,muskmelon,5381,5881,5581
2026-05-20,Nashik,muskmelon,3925,4425,4125
2026-05-20,Ludhiana,muskmelon,6735,7235,6935
2026-05-20,Hyderabad,muskmelon,7395,7895,7595
2026-05-20,Warangal,cucumber,5001,5501,5201
2026-05-20,Guntur,cucumber,2437,2937,2637
2026-05-20,Nashik,cucumber,1327,1827,1527
2026-05-20,Ludhiana,cucumber,3659,4159,3859
2026-05-20,Hyderabad,cucumber,1259,1759,1459
2026-05-20,Warangal,pumpkin,2754,3254,2954
2026-05-20,Guntur,pumpkin,2287,2787,2487
2026-05-20,Nashik,pumpkin,6113,6613,6313
2026-05-20,Ludhiana,pumpkin,7680,8180,7880
2026-05-20,Hyderabad,pumpkin,6016,6516,6216
2026-05-20,Warangal,bottle_gourd,2525,3025,2725
2026-05-20,Guntur,bottle_gourd,7896,8396,8096
2026-05-20,Nashik,bottle_gourd,3530,4030,3730
2026-05-20,Ludhiana,bottle_gourd,5448,5948,5648
2026-05-20,Hyderabad,bottle_gourd,7808,8308,8008
2026-05-20,Warangal,bitter_gourd,3944,4444,4144
2026-05-20,Guntur,bitter_gourd,4151,4651,4351
2026-05-20,Nashik,bitter_gourd,4409,4909,4609
2026-05-20,Ludhiana,bitter_gourd,1985,2485,2185
2026-05-20,Hyderabad,bitter_gourd,4923,5423,5123
2026-05-20,Warangal,ridge_gourd,8193,8693,8393
2026-05-20,Guntur,ridge_gourd,6558,7058,6758
2026-05-20,Nashik,ridge_gourd,3674,4174,3874
2026-05-20,Ludhiana,ridge_gourd,3708,4208,3908
2026-05-20,Hyderabad,ridge_gourd,7406,7906,7606
2026-05-20,Warangal,sponge_gourd,6238,6738,6438
2026-05-20,Guntur,sponge_gourd,3508,4008,3708
2026-05-20,Nashik,sponge_gourd,3298,3798,3498
2026-05-20,Ludhiana,sponge_gourd,5215,5715,5415
2026-05-20,Hyderabad,sponge_gourd,6726,7226,6926
2026-05-20,Warangal,drumstick,1518,2018,1718
2026-05-20,Guntur,drumstick,7120,7620,7320
2026-05-20,Nashik,drumstick,4019,4519,4219
2026-05-20,Ludhiana,drumstick,6405,6905,6605
2026-05-20,Hyderabad,drumstick,3237,3737,3437
2026-05-20,Warangal,moringa,4506,5006,4706
2026-05-20,Guntur,moringa,1151,1651,1351
2026-05-20,Nashik,moringa,6698,7198,6898
2026-05-20,Ludhiana,moringa,3747,4247,3947
2026-05-20,Hyderabad,moringa,5051,5551,5251
2026-05-20,Warangal,guava,7609,8109,7809
2026-05-20,Guntur,guava,7083,7583,7283
2026-05-20,Nashik,guava,6419,6919,6619
2026-05-20,Ludhiana,guava,2464,2964,2664
2026-05-20,Hyderabad,guava,6928,7428,7128
2026-05-20,Warangal,pomegranate,3385,3885,3585
2026-05-20,Guntur,pomegranate,4027,4527,4227
2026-05-20,Nashik,pomegranate,5596,6096,5796
2026-05-20,Ludhiana,pomegranate,3748,4248,3948
2026-05-20,Hyderabad,pomegranate,3729,4229,3929
2026-05-20,Warangal,sapota,4057,4557,4257
2026-05-20,Guntur,sapota,4021,4521,4221
2026-05-20,Nashik,sapota,2801,3301,3001
2026-05-20,Ludhiana,sapota,5148,5648,5348
2026-05-20,Hyderabad,sapota,5966,6466,6166
2026-05-20,Warangal,sapota,5383,5883,5583
2026-05-20,Guntur,sapota,4748,5248,4948
2026-05-20,Nashik,sapota,7656,8156,7856
2026-05-20,Ludhiana,sapota,4276,4776,4476
2026-05-20,Hyderabad,sapota,1492,1992,1692
2026-05-20,Warangal,lychee,6642,7142,6842
2026-05-20,Guntur,lychee,6315,6815,6515
2026-05-20,Nashik,lychee,6177,6677,6377
2026-05-20,Ludhiana,lychee,5416,5916,5616
2026-05-20,Hyderabad,lychee,8178,8678,8378
2026-05-20,Warangal,jackfruit,5972,6472,6172
2026-05-20,Guntur,jackfruit,5837,6337,6037
2026-05-20,Nashik,jackfruit,1750,2250,1950
2026-05-20,Ludhiana,jackfruit,8101,8601,8301
2026-05-20,Hyderabad,jackfruit,6770,7270,6970
2026-05-20,Warangal,pineapple,6641,7141,6841
2026-05-20,Guntur,pineapple,3347,3847,3547
2026-05-20,Nashik,pineapple,7886,8386,8086
2026-05-20,Ludhiana,pineapple,5082,5582,5282
2026-05-20,Hyderabad,pineapple,2292,2792,2492
2026-05-20,Warangal,strawberry,6464,6964,6664
2026-05-20,Guntur,strawberry,2140,2640,2340
2026-05-20,Nashik,strawberry,5859,6359,6059
2026-05-20,Ludhiana,strawberry,5814,6314,6014
2026-05-20,Hyderabad,strawberry,7042,7542,7242
2026-05-20,Warangal,blueberry,1647,2147,1847
2026-05-20,Guntur,blueberry,3923,4423,4123
2026-05-20,Nashik,blueberry,7184,7684,7384
2026-05-20,Ludhiana,blueberry,7691,8191,7891
2026-05-20,Hyderabad,blueberry,5165,5665,5365
2026-05-20,Warangal,pear,4863,5363,5063
2026-05-20,Guntur,pear,6485,6985,6685
2026-05-20,Nashik,pear,4398,4898,4598
2026-05-20,Ludhiana,pear,1361,1861,1561
2026-05-20,Hyderabad,pear,1650,2150,1850
2026-05-20,Warangal,plum,7327,7827,7527
2026-05-20,Guntur,plum,3603,4103,3803
2026-05-20,Nashik,plum,8112,8612,8312
2026-05-20,Ludhiana,plum,3751,4251,3951
2026-05-20,Hyderabad,plum,1037,1537,1237
2026-05-20,Warangal,peach,5527,6027,5727
2026-05-20,Guntur,peach,3912,4412,4112
2026-05-20,Nashik,peach,6556,7056,6756
2026-05-20,Ludhiana,peach,5568,6068,5768
2026-05-20,Hyderabad,peach,4476,4976,4676
2026-05-20,Warangal,tobacco,3222,3722,3422
2026-05-20,Guntur,tobacco,7598,8098,7798
2026-05-20,Nashik,tobacco,4457,4957,4657
2026-05-20,Ludhiana,tobacco,2472,2972,2672
2026-05-20,Hyderabad,tobacco,2973,3473,3173
2026-05-20,Warangal,mentha,4142,4642,4342
2026-05-20,Guntur,mentha,8028,8528,8228
2026-05-20,Nashik,mentha,1824,2324,2024
2026-05-20,Ludhiana,mentha,1549,2049,1749
2026-05-20,Hyderabad,mentha,8118,8618,8318
2026-05-20,Warangal,mint,2312,2812,2512
2026-05-20,Guntur,mint,5248,5748,5448
2026-05-20,Nashik,mint,4693,5193,4893
2026-05-20,Ludhiana,mint,6571,7071,6771
2026-05-20,Hyderabad,mint,8188,8688,8388
2026-05-20,Warangal,coriander,6417,6917,6617
2026-05-20,Guntur,coriander,3053,3553,3253
2026-05-20,Nashik,coriander,7797,8297,7997
2026-05-20,Ludhiana,coriander,1520,2020,1720
2026-05-20,Hyderabad,coriander,2809,3309,3009
2026-05-20,Warangal,cumin,6399,6899,6599
2026-05-20,Guntur,cumin,1653,2153,1853
2026-05-20,Nashik,cumin,3538,4038,3738
2026-05-20,Ludhiana,cumin,2818,3318,3018
2026-05-20,Hyderabad,cumin,5078,5578,5278
2026-05-20,Warangal,fennel,7289,7789,7489
2026-05-20,Guntur,fennel,3710,4210,3910
2026-05-20,Nashik,fennel,4260,4760,4460
2026-05-20,Ludhiana,fennel,4610,5110,4810
2026-05-20,Hyderabad,fennel,3570,4070,3770
2026-05-20,Warangal,fenugreek,4598,5098,4798
2026-05-20,Guntur,fenugreek,5713,6213,5913
2026-05-20,Nashik,fenugreek,3916,4416,4116
2026-05-20,Ludhiana,fenugreek,7863,8363,8063
2026-05-20,Hyderabad,fenugreek,5852,6352,6052
2026-05-20,Warangal,fenugreek,3308,3808,3508
2026-05-20,Guntur,fenugreek,3731,4231,3931
2026-05-20,Nashik,fenugreek,1232,1732,1432
2026-05-20,Ludhiana,fenugreek,5973,6473,6173
2026-05-20,Hyderabad,fenugreek,5144,5644,5344
2026-05-20,Warangal,isabgol,1272,1772,1472
2026-05-20,Guntur,isabgol,6410,6910,6610
2026-05-20,Nashik,isabgol,2231,2731,2431
2026-05-20,Ludhiana,isabgol,2189,2689,2389
2026-05-20,Hyderabad,isabgol,6889,7389,7089
2026-05-20,Warangal,psyllium,1839,2339,2039
2026-05-20,Guntur,psyllium,5461,5961,5661
2026-05-20,Nashik,psyllium,3288,3788,3488
2026-05-20,Ludhiana,psyllium,3206,3706,3406
2026-05-20,Hyderabad,psyllium,5913,6413,6113
2026-05-20,Warangal,safflower,7660,8160,7860
2026-05-20,Guntur,safflower,1084,1584,1284
2026-05-20,Nashik,safflower,7835,8335,8035
2026-05-20,Ludhiana,safflower,6517,7017,6717
2026-05-20,Hyderabad,safflower,5978,6478,6178
2026-05-20,Warangal,niger_seed,8224,8724,8424
2026-05-20,Guntur,niger_seed,5525,6025,5725
2026-05-20,Nashik,niger_seed,6832,7332,7032
2026-05-20,Ludhiana,niger_seed,5062,5562,5262
2026-05-20,Hyderabad,niger_seed,6967,7467,7167
2026-05-20,Warangal,berseem,7403,7903,7603
2026-05-20,Guntur,berseem,3356,3856,3556
2026-05-20,Nashik,berseem,3731,4231,3931
2026-05-20,Ludhiana,berseem,1446,1946,1646
2026-05-20,Hyderabad,berseem,3461,3961,3661
2026-05-20,Warangal,lucerne,4906,5406,5106
2026-05-20,Guntur,lucerne,2298,2798,2498
2026-05-20,Nashik,lucerne,4888,5388,5088
2026-05-20,Ludhiana,lucerne,6157,6657,6357
2026-05-20,Hyderabad,lucerne,5034,5534,5234
2026-05-20,Warangal,alfalfa,5909,6409,6109
2026-05-20,Guntur,alfalfa,1853,2353,2053
2026-05-20,Nashik,alfalfa,5517,6017,5717
2026-05-20,Ludhiana,alfalfa,2324,2824,2524
2026-05-20,Hyderabad,alfalfa,4898,5398,5098
2026-05-20,Warangal,hybrid_napier,2833,3333,3033
2026-05-20,Guntur,hybrid_napier,2814,3314,3014
2026-05-20,Nashik,hybrid_napier,5789,6289,5989
2026-05-20,Ludhiana,hybrid_napier,6389,6889,6589
2026-05-20,Hyderabad,hybrid_napier,6618,7118,6818
2026-05-20,Warangal,marigold,7738,8238,7938
2026-05-20,Guntur,marigold,2807,3307,3007
2026-05-20,Nashik,marigold,2185,2685,2385
2026-05-20,Ludhiana,marigold,4298,4798,4498
2026-05-20,Hyderabad,marigold,3435,3935,3635
