crop,basal_npk,top_dress_n,micronutrients,organic_alternative
onion,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
potato,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
mustard,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sunflower,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
bajra,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pearl_millet,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
jowar,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sorghum,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
chickpea,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
chickpea,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
lentil,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
moong,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
urad,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pigeon pea,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pigeon_pea,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
banana,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
mango,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
grapes,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
apple,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
citrus,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
orange,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
papaya,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
brinjal,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
brinjal,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
cabbage,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
cauliflower,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
okra,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
okra,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
turmeric,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
ginger,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
coffee,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
tea,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
coconut,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
arecanut,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
barley,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
oats,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
ragi,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
finger_millet,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
foxtail_millet,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
castor,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sesame,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sesame,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
linseed,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
flax,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
niger,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
watermelon,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
muskmelon,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
cucumber,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pumpkin,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
bottle_gourd,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
bitter_gourd,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
ridge_gourd,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sponge_gourd,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
drumstick,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
moringa,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
guava,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pomegranate,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sapota,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
sapota,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
lychee,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
jackfruit,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pineapple,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
strawberry,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
blueberry,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
pear,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
plum,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
peach,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
tobacco,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
mentha,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
mint,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
coriander,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
cumin,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
fennel,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
fenugreek,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
fenugreek,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
isabgol,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
psyllium,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
safflower,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
niger_seed,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
berseem,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
lucerne,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
alfalfa,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
hybrid_napier,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
marigold,20:20:0 or DAP per soil test,Split urea at tillering and panicle initiation,Zinc/boron if deficiency observed,FYM 5–10 t/ha + green manure where possible
