crop,variety_name,duration_days,region
banana,Banana Bold 4,135,Pan-India (verify locally)
banana,Banana Early 5,150,Pan-India (verify locally)
banana,Banana Late 6,165,Pan-India (verify locally)
banana,Banana Resistant 7,180,Pan-India (verify locally)
banana,Banana Dwarf 8,195,Pan-India (verify locally)
mango,Mango Hybrid 1,90,Pan-India (verify locally)
mango,Mango Improved 2,105,Pan-India (verify locally)
mango,Mango Local 3,120,Pan-India (verify locally)
mango,Mango Bold 4,135,Pan-India (verify locally)
mango,Mango Early 5,150,Pan-India (verify locally)
mango,Mango Late 6,165,Pan-India (verify locally)
mango,Mango Resistant 7,180,Pan-India (verify locally)
mango,Mango Dwarf 8,195,Pan-India (verify locally)
grapes,Grapes Hybrid 1,90,Pan-India (verify locally)
grapes,Grapes Improved 2,105,Pan-India (verify locally)
grapes,Grapes Local 3,120,Pan-India (verify locally)
grapes,Grapes Bold 4,135,Pan-India (verify locally)
grapes,Grapes Early 5,150,Pan-India (verify locally)
grapes,Grapes Late 6,165,Pan-India (verify locally)
grapes,Grapes Resistant 7,180,Pan-India (verify locally)
grapes,Grapes Dwarf 8,195,Pan-India (verify locally)
apple,Apple Hybrid 1,90,Pan-India (verify locally)
apple,Apple Improved 2,105,Pan-India (verify locally)
apple,Apple Local 3,120,Pan-India (verify locally)
apple,Apple Bold 4,135,Pan-India (verify locally)
apple,Apple Early 5,150,Pan-India (verify locally)
apple,Apple Late 6,165,Pan-India (verify locally)
apple,Apple Resistant 7,180,Pan-India (verify locally)
apple,Apple Dwarf 8,195,Pan-India (verify locally)
citrus,Citrus Hybrid 1,90,Pan-India (verify locally)
citrus,Citrus Improved 2,105,Pan-India (verify locally)
citrus,Citrus Local 3,120,Pan-India (verify locally)
citrus,Citrus Bold 4,135,Pan-India (verify locally)
citrus,Citrus Early 5,150,Pan-India (verify locally)
citrus,Citrus Late 6,165,Pan-India (verify locally)
citrus,Citrus Resistant 7,180,Pan-India (verify locally)
citrus,Citrus Dwarf 8,195,Pan-India (verify locally)
orange,Orange Hybrid 1,90,Pan-India (verify locally)
orange,Orange Improved 2,105,Pan-India (verify locally)
orange,Orange Local 3,120,Pan-India (verify locally)
orange,Orange Bold 4,135,Pan-India (verify locally)
orange,Orange Early 5,150,Pan-India (verify locally)
orange,Orange Late 6,165,Pan-India (verify locally)
orange,Orange Resistant 7,180,Pan-India (verify locally)
orange,Orange Dwarf 8,195,Pan-India (verify locally)
papaya,Papaya Hybrid 1,90,Pan-India (verify locally)
papaya,Papaya Improved 2,105,Pan-India (verify locally)
papaya,Papaya Local 3,120,Pan-India (verify locally)
papaya,Papaya Bold 4,135,Pan-India (verify locally)
papaya,Papaya Early 5,150,Pan-India (verify locally)
papaya,Papaya Late 6,165,Pan-India (verify locally)
papaya,Papaya Resistant 7,180,Pan-India (verify locally)
papaya,Papaya Dwarf 8,195,Pan-India (verify locally)
brinjal,Brinjal Hybrid 1,90,Pan-India (verify locally)
brinjal,Brinjal Improved 2,105,Pan-India (verify locally)
brinjal,Brinjal Local 3,120,Pan-India (verify locally)
brinjal,Brinjal Bold 4,135,Pan-India (verify locally)
brinjal,Brinjal Early 5,150,Pan-India (verify locally)
brinjal,Brinjal Late 6,165,Pan-India (verify locally)
brinjal,Brinjal Resistant 7,180,Pan-India (verify locally)
brinjal,Brinjal Dwarf 8,195,Pan-India (verify locally)
brinjal,Brinjal Hybrid 1,90,Pan-India (verify locally)
brinjal,Brinjal Improved 2,105,Pan-India (verify locally)
brinjal,Brinjal Local 3,120,Pan-India (verify locally)
brinjal,Brinjal Bold 4,135,Pan-India (verify locally)
brinjal,Brinjal Early 5,150,Pan-India (verify locally)
brinjal,Brinjal Late 6,165,Pan-India (verify locally)
brinjal,Brinjal Resistant 7,180,Pan-India (verify locally)
brinjal,Brinjal Dwarf 8,195,Pan-India (verify locally)
cabbage,Cabbage Hybrid 1,90,Pan-India (verify locally)
cabbage,Cabbage Improved 2,105,Pan-India (verify locally)
cabbage,Cabbage Local 3,120,Pan-India (verify locally)
cabbage,Cabbage Bold 4,135,Pan-India (verify locally)
cabbage,Cabbage Early 5,150,Pan-India (verify locally)
cabbage,Cabbage Late 6,165,Pan-India (verify locally)
cabbage,Cabbage Resistant 7,180,Pan-India (verify locally)
cabbage,Cabbage Dwarf 8,195,Pan-India (verify locally)
cauliflower,Cauliflower Hybrid 1,90,Pan-India (verify locally)
cauliflower,Cauliflower Improved 2,105,Pan-India (verify locally)
cauliflower,Cauliflower Local 3,120,Pan-India (verify locally)
cauliflower,Cauliflower Bold 4,135,Pan-India (verify locally)
cauliflower,Cauliflower Early 5,150,Pan-India (verify locally)
cauliflower,Cauliflower Late 6,165,Pan-India (verify locally)
cauliflower,Cauliflower Resistant 7,180,Pan-India (verify locally)
cauliflower,Cauliflower Dwarf 8,195,Pan-India (verify locally)
okra,Okra Hybrid 1,90,Pan-India (verify locally)
okra,Okra Improved 2,105,Pan-India (verify locally)
okra,Okra Local 3,120,Pan-India (verify locally)
okra,Okra Bold 4,135,Pan-India (verify locally)
okra,Okra Early 5,150,Pan-India (verify locally)
okra,Okra Late 6,165,Pan-India (verify locally)
okra,Okra Resistant 7,180,Pan-India (verify locally)
okra,Okra Dwarf 8,195,Pan-India (verify locally)
okra,Okra Hybrid 1,90,Pan-India (verify locally)
okra,Okra Improved 2,105,Pan-India (verify locally)
okra,Okra Local 3,120,Pan-India (verify locally)
okra,Okra Bold 4,135,Pan-India (verify locally)
okra,Okra Early 5,150,Pan-India (verify locally)
okra,Okra Late 6,165,Pan-India (verify locally)
okra,Okra Resistant 7,180,Pan-India (verify locally)
okra,Okra Dwarf 8,195,Pan-India (verify locally)
turmeric,Turmeric Hybrid 1,90,Pan-India (verify locally)
turmeric,Turmeric Improved 2,105,Pan-India (verify locally)
turmeric,Turmeric Local 3,120,Pan-India (verify locally)
turmeric,Turmeric Bold 4,135,Pan-India (verify locally)
turmeric,Turmeric Early 5,150,Pan-India (verify locally)
turmeric,Turmeric Late 6,165,Pan-India (verify locally)
turmeric,Turmeric Resistant 7,180,Pan-India (verify locally)
turmeric,Turmeric Dwarf 8,195,Pan-India (verify locally)
ginger,Ginger Hybrid 1,90,Pan-India (verify locally)
ginger,Ginger Improved 2,105,Pan-India (verify locally)
ginger,Ginger Local 3,120,Pan-India (verify locally)
ginger,Ginger Bold 4,135,Pan-India (verify locally)
ginger,Ginger Early 5,150,Pan-India (verify locally)
ginger,Ginger Late 6,165,Pan-India (verify locally)
ginger,Ginger Resistant 7,180,Pan-India (verify locally)
ginger,Ginger Dwarf 8,195,Pan-India (verify locally)
coffee,Coffee Hybrid 1,90,Pan-India (verify locally)
coffee,Coffee Improved 2,105,Pan-India (verify locally)
coffee,Coffee Local 3,120,Pan-India (verify locally)
coffee,Coffee Bold 4,135,Pan-India (verify locally)
coffee,Coffee Early 5,150,Pan-India (verify locally)
coffee,Coffee Late 6,165,Pan-India (verify locally)
coffee,Coffee Resistant 7,180,Pan-India (verify locally)
coffee,Coffee Dwarf 8,195,Pan-India (verify locally)
tea,Tea Hybrid 1,90,Pan-India (verify locally)
tea,Tea Improved 2,105,Pan-India (verify locally)
tea,Tea Local 3,120,Pan-India (verify locally)
tea,Tea Bold 4,135,Pan-India (verify locally)
tea,Tea Early 5,150,Pan-India (verify locally)
tea,Tea Late 6,165,Pan-India (verify locally)
tea,Tea Resistant 7,180,Pan-India (verify locally)
tea,Tea Dwarf 8,195,Pan-India (verify locally)
coconut,Coconut Hybrid 1,90,Pan-India (verify locally)
coconut,Coconut Improved 2,105,Pan-India (verify locally)
coconut,Coconut Local 3,120,Pan-India (verify locally)
coconut,Coconut Bold 4,135,Pan-India (verify locally)
coconut,Coconut Early 5,150,Pan-India (verify locally)
coconut,Coconut Late 6,165,Pan-India (verify locally)
coconut,Coconut Resistant 7,180,Pan-India (verify locally)
coconut,Coconut Dwarf 8,195,Pan-India (verify locally)
arecanut,Arecanut Hybrid 1,90,Pan-India (verify locally)
arecanut,Arecanut Improved 2,105,Pan-India (verify locally)
arecanut,Arecanut Local 3,120,Pan-India (verify locally)
arecanut,Arecanut Bold 4,135,Pan-India (verify locally)
arecanut,Arecanut Early 5,150,Pan-India (verify locally)
arecanut,Arecanut Late 6,165,Pan-India (verify locally)
arecanut,Arecanut Resistant 7,180,Pan-India (verify locally)
arecanut,Arecanut Dwarf 8,195,Pan-India (verify locally)
barley,Barley Hybrid 1,90,Pan-India (verify locally)
barley,Barley Improved 2,105,Pan-India (verify locally)
barley,Barley Local 3,120,Pan-India (verify locally)
barley,Barley Bold 4,135,Pan-India (verify locally)
barley,Barley Early 5,150,Pan-India (verify locally)
barley,Barley Late 6,165,Pan-India (verify locally)
barley,Barley Resistant 7,180,Pan-India (verify locally)
barley,Barley Dwarf 8,195,Pan-India (verify locally)
oats,Oats Hybrid 1,90,Pan-India (verify locally)
oats,Oats Improved 2,105,Pan-India (verify locally)
oats,Oats Local 3,120,Pan-India (verify locally)
oats,Oats Bold 4,135,Pan-India (verify locally)
oats,Oats Early 5,150,Pan-India (verify locally)
oats,Oats Late 6,165,Pan-India (verify locally)
oats,Oats Resistant 7,180,Pan-India (verify locally)
oats,Oats Dwarf 8,195,Pan-India (verify locally)
ragi,Ragi Hybrid 1,90,Pan-India (verify locally)
ragi,Ragi Improved 2,105,Pan-India (verify locally)
ragi,Ragi Local 3,120,Pan-India (verify locally)
ragi,Ragi Bold 4,135,Pan-India (verify locally)
ragi,Ragi Early 5,150,Pan-India (verify locally)
ragi,Ragi Late 6,165,Pan-India (verify locally)
ragi,Ragi Resistant 7,180,Pan-India (verify locally)
ragi,Ragi Dwarf 8,195,Pan-India (verify locally)
finger_millet,Finger_Millet Hybrid 1,90,Pan-India (verify locally)
finger_millet,Finger_Millet Improved 2,105,Pan-India (verify locally)
finger_millet,Finger_Millet Local 3,120,Pan-India (verify locally)
finger_millet,Finger_Millet Bold 4,135,Pan-India (verify locally)
finger_millet,Finger_Millet Early 5,150,Pan-India (verify locally)
finger_millet,Finger_Millet Late 6,165,Pan-India (verify locally)
finger_millet,Finger_Millet Resistant 7,180,Pan-India (verify locally)
finger_millet,Finger_Millet Dwarf 8,195,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Hybrid 1,90,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Improved 2,105,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Local 3,120,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Bold 4,135,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Early 5,150,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Late 6,165,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Resistant 7,180,Pan-India (verify locally)
foxtail_millet,Foxtail_Millet Dwarf 8,195,Pan-India (verify locally)
castor,Castor Hybrid 1,90,Pan-India (verify locally)
castor,Castor Improved 2,105,Pan-India (verify locally)
castor,Castor Local 3,120,Pan-India (verify locally)
castor,Castor Bold 4,135,Pan-India (verify locally)
castor,Castor Early 5,150,Pan-India (verify locally)
castor,Castor Late 6,165,Pan-India (verify locally)
castor,Castor Resistant 7,180,Pan-India (verify locally)
castor,Castor Dwarf 8,195,Pan-India (verify locally)
sesame,Sesame Hybrid 1,90,Pan-India (verify locally)
sesame,Sesame Improved 2,105,Pan-India (verify locally)
sesame,Sesame Local 3,120,Pan-India (verify locally)
sesame,Sesame Bold 4,135,Pan-India (verify locally)
sesame,Sesame Early 5,150,Pan-India (verify locally)
sesame,Sesame Late 6,165,Pan-India (verify locally)
sesame,Sesame Resistant 7,180,Pan-India (verify locally)
sesame,Sesame Dwarf 8,195,Pan-India (verify locally)
sesame,Sesame Hybrid 1,90,Pan-India (verify locally)
sesame,Sesame Improved 2,105,Pan-India (verify locally)
sesame,Sesame Local 3,120,Pan-India (verify locally)
sesame,Sesame Bold 4,135,Pan-India (verify locally)
sesame,Sesame Early 5,150,Pan-India (verify locally)
sesame,Sesame Late 6,165,Pan-India (verify locally)
sesame,Sesame Resistant 7,180,Pan-India (verify locally)
sesame,Sesame Dwarf 8,195,Pan-India (verify locally)
